CODEMAMROT,Boroughs,Year,Month,Sum_NOMBRE_UNI,Sum_Fire_Incident,Count_Incident,Count_Incident_1,Count_Crime,Count_Crime_1,Sum_ETAGE_HORS_SOL,Sum_NOMBRE_LOGEMENT,Building_Life,Sum_SUPERFICIE_TERRAIN,Sum_SUPERFICIE_BATIMENT
66007,Montréal-Est,2015,2,51,0,32,29,11,3,1178,1511,68.868139223561,315682,127482
66007,Montréal-Est,2015,3,57,0,29,32,6,11,1178,1511,68.9514725568943,315682,127482
66007,Montréal-Est,2015,4,69,2,35,29,7,6,1178,1511,69.0348058902275,315682,127482
66007,Montréal-Est,2015,5,97,7,37,35,17,7,1178,1511,69.118139223561,315682,127482
66007,Montréal-Est,2015,6,71,3,34,37,3,17,1178,1511,69.2014725568943,315682,127482
66007,Montréal-Est,2015,7,56,2,28,34,4,3,1178,1511,69.2848058902275,315682,127482
66007,Montréal-Est,2015,8,67,3,43,28,15,4,1178,1511,69.368139223561,315682,127482
66007,Montréal-Est,2015,9,58,5,36,43,8,15,1178,1511,69.4514725568943,315682,127482
66007,Montréal-Est,2015,10,82,2,31,36,9,8,1178,1511,69.5348058902275,315682,127482
66007,Montréal-Est,2015,11,32,1,25,31,7,9,1178,1511,69.618139223561,315682,127482
66007,Montréal-Est,2015,12,49,0,33,25,7,7,1178,1511,69.7014725568943,315682,127482
66007,Montréal-Est,2016,1,41,0,28,33,14,7,1178,1511,69.7848058902275,315682,127482
66007,Montréal-Est,2016,2,88,2,42,28,4,14,1178,1511,69.868139223561,315682,127482
66007,Montréal-Est,2016,3,43,1,28,42,4,4,1178,1511,69.9514725568943,315682,127482
66007,Montréal-Est,2016,4,47,1,34,28,7,4,1178,1511,70.0348058902275,315682,127482
66007,Montréal-Est,2016,5,66,2,32,34,10,7,1178,1511,70.118139223561,315682,127482
66007,Montréal-Est,2016,6,91,8,50,32,8,10,1178,1511,70.2014725568943,315682,127482
66007,Montréal-Est,2016,7,110,3,46,50,9,8,1178,1511,70.2848058902275,315682,127482
66007,Montréal-Est,2016,8,68,4,43,46,14,9,1178,1511,70.368139223561,315682,127482
66007,Montréal-Est,2016,9,57,4,37,43,7,14,1178,1511,70.4514725568943,315682,127482
66007,Montréal-Est,2016,10,45,2,33,37,6,7,1178,1511,70.5348058902275,315682,127482
66007,Montréal-Est,2016,11,68,1,52,33,7,6,1178,1511,70.618139223561,315682,127482
66007,Montréal-Est,2016,12,167,8,41,52,7,7,1178,1511,70.7014725568943,315682,127482
66007,Montréal-Est,2017,1,48,1,36,41,9,7,1178,1511,70.7848058902275,315682,127482
66007,Montréal-Est,2017,2,63,0,43,36,6,9,1178,1511,70.868139223561,315682,127482
66007,Montréal-Est,2017,3,52,1,36,43,8,6,1178,1511,70.9514725568943,315682,127482
66007,Montréal-Est,2017,4,91,3,43,36,5,8,1178,1511,71.0348058902275,315682,127482
66007,Montréal-Est,2017,5,70,1,32,43,7,5,1178,1511,71.118139223561,315682,127482
66007,Montréal-Est,2017,6,77,4,42,32,6,7,1178,1511,71.2014725568943,315682,127482
66007,Montréal-Est,2017,7,70,1,46,42,8,6,1178,1511,71.2848058902275,315682,127482
66007,Montréal-Est,2017,8,88,3,49,46,4,8,1178,1511,71.368139223561,315682,127482
66007,Montréal-Est,2017,9,64,3,43,49,7,4,1178,1511,71.4514725568943,315682,127482
66007,Montréal-Est,2017,10,68,2,43,43,7,7,1178,1511,71.5348058902275,315682,127482
66007,Montréal-Est,2017,11,57,1,33,43,11,7,1178,1511,71.618139223561,315682,127482
66007,Montréal-Est,2017,12,100,1,50,33,8,11,1178,1511,71.7014725568943,315682,127482
66007,Montréal-Est,2018,1,94,0,45,50,3,8,1178,1511,71.7848058902275,315682,127482
66007,Montréal-Est,2018,2,81,1,32,45,12,3,1178,1511,71.868139223561,315682,127482
66007,Montréal-Est,2018,3,50,1,40,32,4,12,1178,1511,71.9514725568943,315682,127482
66007,Montréal-Est,2018,4,104,4,35,40,3,4,1178,1511,72.0348058902275,315682,127482
66007,Montréal-Est,2018,5,67,2,43,35,6,3,1178,1511,72.118139223561,315682,127482
66007,Montréal-Est,2018,6,114,5,48,43,9,6,1178,1511,72.2014725568943,315682,127482
66007,Montréal-Est,2018,7,81,5,46,48,4,9,1178,1511,72.2848058902275,315682,127482
66007,Montréal-Est,2018,8,62,2,47,46,15,4,1178,1511,72.368139223561,315682,127482
66007,Montréal-Est,2018,9,77,2,46,47,8,15,1178,1511,72.4514725568943,315682,127482
66007,Montréal-Est,2018,10,83,2,32,46,11,8,1178,1511,72.5348058902275,315682,127482
66007,Montréal-Est,2018,11,63,0,33,32,7,11,1178,1511,72.618139223561,315682,127482
66007,Montréal-Est,2018,12,66,1,31,33,6,7,1178,1511,72.7014725568943,315682,127482
66007,Montréal-Est,2019,1,74,1,41,31,7,6,1178,1511,72.7848058902275,315682,127482
66007,Montréal-Est,2019,2,90,3,31,41,6,7,1178,1511,72.868139223561,315682,127482
66007,Montréal-Est,2019,3,71,0,41,31,6,6,1178,1511,72.9514725568943,315682,127482
66007,Montréal-Est,2019,4,48,0,25,41,13,6,1178,1511,73.0348058902275,315682,127482
66007,Montréal-Est,2019,5,42,2,32,25,5,13,1178,1511,73.118139223561,315682,127482
66007,Montréal-Est,2019,6,70,3,34,32,7,5,1178,1511,73.2014725568943,315682,127482
66007,Montréal-Est,2019,7,92,6,48,34,3,7,1178,1511,73.2848058902275,315682,127482
66007,Montréal-Est,2019,8,51,1,33,48,5,3,1178,1511,73.368139223561,315682,127482
66007,Montréal-Est,2019,9,73,3,31,33,13,5,1178,1511,73.4514725568943,315682,127482
66007,Montréal-Est,2019,10,72,4,42,31,17,13,1178,1511,73.5348058902275,315682,127482
66007,Montréal-Est,2019,11,47,1,33,42,9,17,1178,1511,73.618139223561,315682,127482
66007,Montréal-Est,2019,12,70,1,45,33,9,9,1178,1511,73.7014725568943,315682,127482
66007,Montréal-Est,2020,1,82,2,38,45,10,9,1178,1511,73.7848058902275,315682,127482
66007,Montréal-Est,2020,2,50,0,31,38,11,10,1178,1511,73.868139223561,315682,127482
66007,Montréal-Est,2020,3,37,0,24,31,11,11,1178,1511,73.9514725568943,315682,127482
66007,Montréal-Est,2020,4,8,0,5,24,5,11,1178,1511,74.0348058902275,315682,127482
66007,Montréal-Est,2020,5,53,3,16,5,7,5,1178,1511,74.118139223561,315682,127482
66007,Montréal-Est,2020,6,29,4,17,16,8,7,1178,1511,74.2014725568943,315682,127482
66007,Montréal-Est,2020,7,45,4,23,17,5,8,1178,1511,74.2848058902275,315682,127482
66007,Montréal-Est,2020,8,152,7,51,23,7,5,1178,1511,74.368139223561,315682,127482
66007,Montréal-Est,2020,9,54,0,36,51,14,7,1178,1511,74.4514725568943,315682,127482
66007,Montréal-Est,2020,10,86,3,41,36,13,14,1178,1511,74.5348058902275,315682,127482
66007,Montréal-Est,2020,11,69,2,29,41,1,13,1178,1511,74.618139223561,315682,127482
66007,Montréal-Est,2020,12,42,3,22,29,2,1,1178,1511,74.7014725568943,315682,127482
66007,Montréal-Est,2021,1,146,1,43,22,6,2,1178,1511,74.7848058902275,315682,127482
66007,Montréal-Est,2021,2,59,0,30,43,5,6,1178,1511,74.868139223561,315682,127482
66007,Montréal-Est,2021,3,122,6,44,30,8,5,1178,1511,74.9514725568943,315682,127482
66007,Montréal-Est,2021,4,52,0,37,44,3,8,1178,1511,75.0348058902275,315682,127482
66007,Montréal-Est,2021,5,78,5,46,37,9,3,1178,1511,75.118139223561,315682,127482
66007,Montréal-Est,2021,6,117,3,48,46,7,9,1178,1511,75.2014725568943,315682,127482
66007,Montréal-Est,2021,7,48,0,34,48,5,7,1178,1511,75.2848058902275,315682,127482
66007,Montréal-Est,2021,8,6,0,3,34,0,5,1178,1511,75.368139223561,315682,127482
66032,Westmount,2015,2,190,2,102,132,14,18,8563,7973,90.3386061439708,1794112,5523794
66032,Westmount,2015,3,212,2,91,102,19,14,8563,7973,90.421939477304,1794112,5523794
66032,Westmount,2015,4,222,3,96,91,29,19,8563,7973,90.5052728106373,1794112,5523794
66032,Westmount,2015,5,223,9,127,96,25,29,8563,7973,90.5886061439708,1794112,5523794
66032,Westmount,2015,6,207,2,104,127,26,25,8563,7973,90.671939477304,1794112,5523794
66032,Westmount,2015,7,188,2,100,104,32,26,8563,7973,90.7552728106373,1794112,5523794
66032,Westmount,2015,8,246,3,128,100,19,32,8563,7973,90.8386061439708,1794112,5523794
66032,Westmount,2015,9,278,4,140,128,33,19,8563,7973,90.921939477304,1794112,5523794
66032,Westmount,2015,10,214,3,113,140,39,33,8563,7973,91.0052728106373,1794112,5523794
66032,Westmount,2015,11,193,0,106,113,15,39,8563,7973,91.0886061439708,1794112,5523794
66032,Westmount,2015,12,197,2,100,106,26,15,8563,7973,91.171939477304,1794112,5523794
66032,Westmount,2016,1,162,0,100,100,18,26,8563,7973,91.2552728106373,1794112,5523794
66032,Westmount,2016,2,236,4,102,100,27,18,8563,7973,91.3386061439708,1794112,5523794
66032,Westmount,2016,3,169,3,95,102,24,27,8563,7973,91.421939477304,1794112,5523794
66032,Westmount,2016,4,195,6,113,95,30,24,8563,7973,91.5052728106373,1794112,5523794
66032,Westmount,2016,5,321,10,141,113,23,30,8563,7973,91.5886061439708,1794112,5523794
66032,Westmount,2016,6,265,5,122,141,35,23,8563,7973,91.671939477304,1794112,5523794
66032,Westmount,2016,7,297,4,135,122,26,35,8563,7973,91.7552728106373,1794112,5523794
66032,Westmount,2016,8,280,3,121,135,23,26,8563,7973,91.8386061439708,1794112,5523794
66032,Westmount,2016,9,245,1,122,121,33,23,8563,7973,91.921939477304,1794112,5523794
66032,Westmount,2016,10,231,3,122,122,32,33,8563,7973,92.0052728106373,1794112,5523794
66032,Westmount,2016,11,287,3,121,122,33,32,8563,7973,92.0886061439708,1794112,5523794
66032,Westmount,2016,12,219,2,108,121,23,33,8563,7973,92.171939477304,1794112,5523794
66032,Westmount,2017,1,155,1,86,108,26,23,8563,7973,92.2552728106373,1794112,5523794
66032,Westmount,2017,2,151,2,71,86,26,26,8563,7973,92.3386061439708,1794112,5523794
66032,Westmount,2017,3,213,1,115,71,18,26,8563,7973,92.421939477304,1794112,5523794
66032,Westmount,2017,4,216,3,113,115,29,18,8563,7973,92.5052728106373,1794112,5523794
66032,Westmount,2017,5,187,1,109,113,33,29,8563,7973,92.5886061439708,1794112,5523794
66032,Westmount,2017,6,270,2,131,109,24,33,8563,7973,92.671939477304,1794112,5523794
66032,Westmount,2017,7,263,4,119,131,20,24,8563,7973,92.7552728106373,1794112,5523794
66032,Westmount,2017,8,254,1,126,119,21,20,8563,7973,92.8386061439708,1794112,5523794
66032,Westmount,2017,9,267,2,145,126,22,21,8563,7973,92.921939477304,1794112,5523794
66032,Westmount,2017,10,347,4,128,145,16,22,8563,7973,93.0052728106373,1794112,5523794
66032,Westmount,2017,11,173,2,96,128,31,16,8563,7973,93.0886061439708,1794112,5523794
66032,Westmount,2017,12,226,1,114,96,25,31,8563,7973,93.171939477304,1794112,5523794
66032,Westmount,2018,1,280,1,135,114,15,25,8563,7973,93.2552728106373,1794112,5523794
66032,Westmount,2018,2,143,2,84,135,14,15,8563,7973,93.3386061439708,1794112,5523794
66032,Westmount,2018,3,233,2,118,84,13,14,8563,7973,93.421939477304,1794112,5523794
66032,Westmount,2018,4,196,4,104,118,16,13,8563,7973,93.5052728106373,1794112,5523794
66032,Westmount,2018,5,183,2,111,104,16,16,8563,7973,93.5886061439708,1794112,5523794
66032,Westmount,2018,6,214,2,110,111,22,16,8563,7973,93.671939477304,1794112,5523794
66032,Westmount,2018,7,215,2,117,110,15,22,8563,7973,93.7552728106373,1794112,5523794
66032,Westmount,2018,8,249,1,133,117,21,15,8563,7973,93.8386061439708,1794112,5523794
66032,Westmount,2018,9,269,3,120,133,21,21,8563,7973,93.921939477304,1794112,5523794
66032,Westmount,2018,10,192,3,102,120,20,21,8563,7973,94.0052728106373,1794112,5523794
66032,Westmount,2018,11,227,3,118,102,20,20,8563,7973,94.0886061439708,1794112,5523794
66032,Westmount,2018,12,219,1,99,118,4,20,8563,7973,94.171939477304,1794112,5523794
